Name,EPPLER E853 AIRFOIL
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,-0.056000
99.663980,0.033000
98.719940,0.312020
97.271870,0.748040
95.358770,1.255060
92.958650,1.795090
90.081500,2.383120
86.773340,3.023150
83.084150,3.704190
79.066950,4.415220
74.777730,5.139260
70.275510,5.856290
65.620280,6.542330
60.868040,7.169360
56.076800,7.703380
51.282560,8.103410
46.507320,8.347420
41.774090,8.426420
37.103850,8.346420
32.527620,8.130410
28.096400,7.797390
23.854190,7.359370
19.846990,6.826340
16.114800,6.213310
12.698630,5.531280
9.631480,4.795240
6.947350,4.020200
4.676230,3.222160
2.839140,2.411120
1.449070,1.608080
0.524030,0.852040
0.181010,0.428020
0.047000,0.172010
0.000000,0.000000
0.002000,-0.099000
0.037000,-0.194010
0.145010,-0.343020
0.373020,-0.549030
0.871040,-0.865040
2.138110,-1.378070
3.898190,-1.847090
6.147310,-2.264110
8.868440,-2.629130
12.025600,-2.943150
15.577780,-3.200160
19.480970,-3.393170
23.686180,-3.511180
28.144410,-3.538180
32.817640,-3.449170
37.678880,-3.230160
42.709140,-2.875140
47.903390,-2.408120
53.226660,-1.885090
58.610930,-1.355070
63.979200,-0.852040
69.255470,-0.405020
74.355720,-0.034000
79.196950,0.245010
83.699180,0.424020
87.783380,0.505030
91.376570,0.496020
94.412720,0.411020
96.831840,0.275010
98.585930,0.121010
99.645980,-0.005000
100.000000,-0.056000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.047000,-0.017898
0.181010,0.026237
0.524030,0.103595
1.449070,0.254499
2.839140,0.423121
4.676230,0.615405
6.947350,0.824385
9.631480,1.045108
12.698630,1.269717
16.114800,1.493297
19.846990,1.711449
23.854190,1.923586
28.096400,2.129750
32.527620,2.337858
37.103850,2.545177
41.774090,2.742644
46.507320,2.906889
51.282560,3.013653
56.076800,3.049427
60.868040,3.012895
65.620280,2.914663
70.275510,2.762737
74.777730,2.564791
79.066950,2.326369
83.084150,2.051878
86.773340,1.754073
90.081500,1.441194
92.958650,1.123409
95.358770,0.806445
97.271870,0.492209
98.719940,0.208550
99.663980,0.012703
100.000000,-0.056000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
